Week1
Squat: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,58.5, x 5
Set 5 :,67.5, x 5
Set 6 :,76.5, x 5
Week1
Bench: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,58.5, x 5
Set 5 :,67.5, x 5
Set 6 :,76.5, x 5
Week1
Deadlift: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,58.5, x 5
Set 5 :,67.5, x 5
Set 6 :,76.5, x 5
Week1
OHP: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,58.5, x 5
Set 5 :,67.5, x 5
Set 6 :,76.5, x 5
Week2
Squat: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,63, x 3
Set 5 :,72, x 3
Set 6 :,81, x 3
Week2
Bench: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,63, x 3
Set 5 :,72, x 3
Set 6 :,81, x 3
Week2
Deadlift: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,63, x 3
Set 5 :,72, x 3
Set 6 :,81, x 3
Week2
OHP: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,63, x 3
Set 5 :,72, x 3
Set 6 :,81, x 3
Week3
Squat: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,67.5, x 5
Set 5 :,76.5, x 3
Set 6 :,85.5, x 1
Week3
Bench: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,67.5, x 5
Set 5 :,76.5, x 3
Set 6 :,85.5, x 1
Week3
Deadlift: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,67.5, x 5
Set 5 :,76.5, x 3
Set 6 :,85.5, x 1
Week3
OHP: 
Set 1 :,36, x 5
Set 2 :,45, x 5
Set 3 :,54, x 3
Set 4 :,67.5, x 5
Set 5 :,76.5, x 3
Set 6 :,85.5, x 1
Week4
Squat: 
Set 4 :,36, x 5
Set 5 :,45, x 5
Set 6 :,54, x 5
Week4
Bench: 
Set 4 :,36, x 5
Set 5 :,45, x 5
Set 6 :,54, x 5
Week4
Deadlift: 
Set 4 :,36, x 5
Set 5 :,45, x 5
Set 6 :,54, x 5
Week4
OHP: 
Set 4 :,36, x 5
Set 5 :,45, x 5
Set 6 :,54, x 5
